"","image","plant","surface","diameter","convexHull","das","tr"
"180","TRmock_PL15_PA_DAT15.tif",4,24.369125,8.787782,3.919878,15,"mock"
"181","TRmock_PL15_PA_DAT16.tif",0,31.257097,10.598679,2.7267933,16,"mock"
"182","TRmock_PL15_PA_DAT16.tif",1,48.296703,12.525536,7.6673417,16,"mock"
"183","TRmock_PL15_PA_DAT16.tif",2,30.51938,9.615907,10.395336,16,"mock"
"184","TRmock_PL15_PA_DAT16.tif",3,23.401522,8.721862,6.734581,16,"mock"
"185","TRmock_PL15_PA_DAT16.tif",4,28.505274,9.449207,6.188902,16,"mock"
"186","TRmock_PL15_PA_DAT17.tif",0,36.930557,11.187894,3.2170033,17,"mock"
"187","TRmock_PL15_PA_DAT17.tif",1,59.276566,12.400014,9.932761,17,"mock"
"188","TRmock_PL15_PA_DAT17.tif",2,40.497997,11.669167,9.822224,17,"mock"
"189","TRmock_PL15_PA_DAT17.tif",3,32.433163,11.131262,7.728017,17,"mock"
"190","TRmock_PL15_PA_DAT17.tif",4,34.552,10.455134,9.039449,17,"mock"
"191","TRmock_PL15_PA_DAT18.tif",0,43.52917,11.549571,4.8011746,18,"mock"
"192","TRmock_PL15_PA_DAT18.tif",1,65.93626,14.573383,15.477661,18,"mock"
"193","TRmock_PL15_PA_DAT18.tif",2,43.245617,11.431317,11.471275,18,"mock"
"194","TRmock_PL15_PA_DAT18.tif",3,40.932537,13.035354,7.542386,18,"mock"
"195","TRmock_PL15_PA_DAT18.tif",4,40.469162,11.484081,11.446044,18,"mock"
"196","TRmock_PL15_PA_DAT4.tif",0,2.3327029,2.409819,0.5384701,4,"mock"
"197","TRmock_PL15_PA_DAT4.tif",1,3.394224,3.3238757,0.025231399,4,"mock"
"198","TRmock_PL15_PA_DAT4.tif",2,1.6560609,1.992471,0.49681827,4,"mock"
"199","TRmock_PL15_PA_DAT4.tif",3,2.0557582,2.3434663,0.24150053,4,"mock"
"200","TRmock_PL15_PA_DAT4.tif",4,2.3731532,2.5971897,0.12996173,4,"mock"
"201","TRmock_PL15_PA_DAT5.tif",0,3.2220097,3.0146823,0.5639017,5,"mock"
"202","TRmock_PL15_PA_DAT5.tif",1,4.535845,3.8985014,0.27053666,5,"mock"
